,constellation,losses,path_loss,antenna_gain,earth_atmospheric_losses,distance,satellite_coverage_area_km,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,aggregate_capacity,sat_capacity
89,Kuiper,10.997218011668041,173.4156186779139,43.79517674396574,10.467218011668042,641.4451277013894,157407.40740740742,73.79517674396574,-89.99782907027767,-75.40021137433388,14.597617695943796,3.841226,960.3065,15364.904,15364.903999999999
90,Starlink,15.90059194637558,170.27428920788856,37.025303555230444,15.37059194637558,572.5361290325869,101190.47619047618,67.02530355523044,-89.99782907027767,-72.676940296033,17.32088877424468,4.735354,2367.677,37882.832,37882.832
91,OneWeb,13.119810084753313,177.21171901871236,37.81173719038847,12.589810084753314,1271.645915077516,708333.3333333334,67.81173719038847,-89.99782907027767,-85.35697529428512,4.640853775992554,1.647211,411.80275,6588.844,6588.844
92,Kuiper,8.262081824626986,173.60493260810475,42.461718263169615,7.732081824626985,641.4451277013894,157407.40740740742,72.46171826316962,-89.99782907027767,-72.16127701463036,17.836552055647317,4.936639,1234.15975,19746.556,19746.556
93,Starlink,15.931021859676848,170.25164596402232,38.73457316583776,15.401021859676849,572.5361290325869,101190.47619047618,68.73457316583776,-89.99782907027767,-76.4168130084483,13.581016061829374,3.620536,1810.268,28964.288,28964.288
94,OneWeb,15.462481157888453,177.11782725389781,38.928139267204514,14.932481157888454,1271.645915077516,708333.3333333334,68.92813926720451,-89.99782907027767,-91.2253216199617,-1.2274925496840297,1.647211,411.80275,6588.844,6588.844
95,Kuiper,8.780235626317507,173.48685782256416,41.70138148860563,8.250235626317508,641.4451277013894,157407.40740740742,71.70138148860562,-89.99782907027767,-66.12529270748453,23.87253636279314,5.768987,1442.24675,23075.948,23075.948
96,Starlink,13.838550728777873,170.26202632556374,38.70980908383517,13.308550728777874,572.5361290325869,101190.47619047618,68.70980908383517,-89.99782907027767,-74.50904517469434,15.488783895583339,4.338659,2169.3295,34709.272,34709.272
97,OneWeb,11.754034359336675,177.15882089014718,36.579026569064276,11.224034359336676,1271.645915077516,708333.3333333334,66.57902656906427,-89.99782907027767,-84.00365505016809,5.994174020109583,1.972253,493.06325,7889.012,7889.012
98,Kuiper,9.988601860854436,173.62877391055446,42.73223425384291,9.458601860854436,641.4451277013894,157407.40740740742,72.7322342538429,-89.99782907027767,-74.163543142706,15.83428592757167,4.338659,1084.66475,17354.636,17354.636
99,Starlink,11.968193441719976,170.2345194178523,38.009543443826075,11.438193441719976,572.5361290325869,101190.47619047618,68.00954344382608,-89.99782907027767,-81.31887263156207,8.678956438715602,2.524739,1262.3695,20197.912,20197.912
100,OneWeb,7.11061595055665,177.18162460035012,35.67420959658254,6.58061595055665,1271.645915077516,708333.3333333334,65.67420959658254,-89.99782907027767,-76.31067551336946,13.687153556908214,3.620536,905.134,14482.144,14482.144
101,Kuiper,10.344485364379027,173.45229210161796,45.02741938019608,9.814485364379028,641.4451277013894,157407.40740740742,75.02741938019608,-89.99782907027767,-60.53353197199151,29.464297098286167,5.768987,1442.24675,23075.948,23075.948
102,Starlink,15.76076384247339,170.28906220906327,38.71820280349462,15.23076384247339,572.5361290325869,101190.47619047618,68.71820280349462,-89.99782907027767,-75.27149373463624,14.726335335641437,3.841226,1920.613,30729.808,30729.807999999997
103,OneWeb,11.590341700261934,177.16574790608172,35.344704653029815,11.060341700261935,1271.645915077516,708333.3333333334,65.34470465302982,-89.99782907027767,-82.56163927835463,7.4361897919230415,2.10485,526.2125,8419.4,8419.4
104,Kuiper,14.263314438733639,173.63571953805987,44.229058242787296,13.73331443873364,641.4451277013894,157407.40740740742,74.22905824278729,-89.99782907027767,-72.36386379846566,17.633965271812016,4.735354,1183.8385,18941.416,18941.416
105,Starlink,13.637684970079212,170.34440073152348,38.60082792403372,13.107684970079212,572.5361290325869,101190.47619047618,68.60082792403372,-89.99782907027767,-71.0948284427556,18.903000627522076,5.593162,2796.581,44745.296,44745.296
106,OneWeb,9.71881189497744,177.13181375161304,36.25828464203742,9.18881189497744,1271.645915077516,708333.3333333334,66.25828464203741,-89.99782907027767,-81.27451806124758,8.723311009030098,2.524739,631.18475,10098.956,10098.956
107,Kuiper,10.115360710572702,173.6585417030506,43.544226281811135,9.585360710572703,641.4451277013894,157407.40740740742,73.54422628181113,-89.99782907027767,-68.29059544290668,21.707233627370996,5.768987,1442.24675,23075.948,23075.948
108,Starlink,11.376340970389062,170.27604297108127,32.976119827222064,10.846340970389063,572.5361290325869,101190.47619047618,62.976119827222064,-89.99782907027767,-90.07603400646306,-0.07820493618538649,1.647211,823.6055,13177.688,13177.688
109,OneWeb,11.084449683245255,177.10523501462626,38.09210972035541,10.554449683245256,1271.645915077516,708333.3333333334,68.09210972035541,-89.99782907027767,-82.50799229346303,7.489836776814641,2.10485,526.2125,8419.4,8419.4
110,Kuiper,16.298674306067632,173.6438724550922,42.0893759629212,15.76867430606763,641.4451277013894,157407.40740740742,72.0893759629212,-89.99782907027767,-76.65789141296642,13.339937657311253,3.620536,905.134,14482.144,14482.144
111,Starlink,12.812368968514033,170.20843776366866,38.05894454548254,12.282368968514033,572.5361290325869,101190.47619047618,68.05894454548255,-89.99782907027767,-76.07652164304533,13.92130742723235,3.620536,1810.268,28964.288,28964.288
112,OneWeb,14.192062066491975,177.19046737222914,37.5476769845168,13.662062066491975,1271.645915077516,708333.3333333334,67.5476769845168,-89.99782907027767,-84.7318973607634,5.265931709514277,1.647211,411.80275,6588.844,6588.844
113,Kuiper,11.561319756579014,173.4819851431888,43.855326444288906,11.031319756579014,641.4451277013894,157407.40740740742,73.8553264442889,-89.99782907027767,-72.87769376692872,17.12013530334896,4.735354,1183.8385,18941.416,18941.416
114,Starlink,12.548862243936627,170.03879025328564,38.01153108795725,12.018862243936628,572.5361290325869,101190.47619047618,68.01153108795725,-89.99782907027767,-77.25062533047965,12.747203739798024,3.510192,1755.096,28081.536,28081.536
115,OneWeb,13.361537735241198,177.11621452454847,36.19332797588808,12.831537735241199,1271.645915077516,708333.3333333334,66.19332797588808,-89.99782907027767,-80.72549482761531,9.272334242662367,2.635236,658.809,10540.944,10540.944
116,Kuiper,10.25777493540249,173.50527402678995,42.07674980790799,9.72777493540249,641.4451277013894,157407.40740740742,72.07674980790799,-89.99782907027767,-73.98849115693852,16.009337913339152,4.603122,1150.7805,18412.488,18412.488
117,Starlink,12.799139306630972,170.2623776836707,36.63567247587528,12.269139306630972,572.5361290325869,101190.47619047618,66.63567247587528,-89.99782907027767,-76.99396559852754,13.003863471750137,3.510192,1755.096,28081.536,28081.536
118,OneWeb,11.925865878326986,177.09917845335934,38.008961964767806,11.395865878326987,1271.645915077516,708333.3333333334,68.0089619647678,-89.99782907027767,-80.11962279014327,9.878206280134407,2.745734,686.4335,10982.936,10982.936
119,Kuiper,8.090502728737798,173.52137890939576,41.986634825701394,7.560502728737799,641.4451277013894,157407.40740740742,71.9866348257014,-89.99782907027767,-67.26993550288124,22.727893567396436,5.768987,1442.24675,23075.948,23075.948
120,Starlink,16.739630762738294,170.27495147519267,39.23983339044298,16.209630762738293,572.5361290325869,101190.47619047618,69.23983339044298,-89.99782907027767,-79.79059957576914,10.207229494508539,2.745734,1372.867,21965.872,21965.872
121,OneWeb,12.25527371875367,177.15368563593393,36.55435298258258,11.725273718753671,1271.645915077516,708333.3333333334,66.55435298258257,-89.99782907027767,-86.7772225867514,3.220606483526268,1.647211,411.80275,6588.844,6588.844
